Model,Accuracy,Precision,Recall,F1-score,AUROC
Decision Tree,0.9659090909090909,0.9690069353536692,0.9659090909090909,0.9657630150750489,0.9868613896833525
XGBoost,0.9863636363636363,0.9872647907647908,0.9863636363636363,0.9863931254010212,0.9994473466081815
Random Forest,0.9840909090909091,0.9852620712620713,0.9840909090909091,0.9840491808327174,0.9999348438391528
